Player,Url,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 8,Week 18,Week 19,Week 20
Ka'Deem Carey,CareKa00,chi,,,D,D,Q,Q,Q,,,,,,,,Q,,,,,
Jay Cutler,CutlJa00,chi,,,D,D,D,D,D,,,,IR,O,IR,IR,IR,IR,,,,
David Fales,FaleDa00,chi,,,,,,,,,,,,,,,Q,Q,,,,
Ego Ferguson,FergEg00,chi,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Leonard Floyd,FloyLe00,chi,,,,,Q,Q,Q,,,,O,Q,,,,D,,,,
Jerrell Freeman,FreeJe00,chi,,,,,,Q,Q,,,,,,,,,,,,,
Kyle Fuller,FullKy00,chi,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Eddie Goldman,GoldEd00,chi,,,D,D,D,D,D,,,Q,,,,IR,O,IR,D,,,
Hroniss Grasu,GrasHr00,chi,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Deiondre' Hall,HallDe02,chi,,,,,D,O,O,,,D,Q,Q,,,,,O,,,
Lamarr Houston,HousLa99,chi,,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brian Hoyer,HoyeBr00,chi,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Alshon Jeffery,JeffAl00,chi,,,Q,Q,Q,Q,,,,,,,,,,,,,,
Christian Jones,JoneCh05,chi,,,,,,,,,,,Q,,,,,,,,,
Harold Jones-Quartey,JoneHa02,chi,,,,Q,,,,,,,,,,,,,,,,
Eric Kush,KushEr00,chi,,,,,,,,,,,,,,,O,,,,,
Nick Kwiatkoski,KwiaNi00,chi,,,,,Q,,,,,,,,,,,,,,,
Jeremy Langford,LangJe00,chi,,,,D,D,D,D,,,,,,,,,,Q,,,
Paul Lasike,LasiPa00,chi,Q,,,,,,,,,,,,,,,,,,,
Cre'von LeBlanc,LeBlCr01,chi,,,,,,,,,,,,,,,Q,Q,,,,
Charles Leno,LenoCh00,chi,,,,,Q,,,,,,,,,,,,,,,
Kyle Long,LongKy00,chi,Q,,,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Danny Mason,MasoDa00,chi,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Bobby Massie,MassBo00,chi,,,Q,,,Q,,,,D,,,,,,Q,,,,
Sherrick McManis,McMaSh99,chi,,,,Q,Q,,,,,,,,,,,,,,,
Pernell McPhee,McPhPe00,chi,IR,IR,IR,IR,IR,IR,,,,Q,,,,,,Q,Q,,,
Cameron Meredith,MereCa00,chi,,,,,,,,,,,,,,,,,Q,,,
Zach Miller,MillZa02,chi,,,,,Q,Q,Q,,,,IR,IR,IR,IR,IR,IR,,,,
Tracy Porter,PortTr99,chi,,,Q,Q,Q,Q,Q,,,Q,,,,,,Q,Q,,,
Chris Prosinski,ProsCh00,chi,,,Q,,,,,,,,,,,,,,,,,
Roy Robertson-Harris,RobeRo00,chi,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Eddie Royal,RoyaEd00,chi,,,,,Q,Q,O,,,Q,Q,IR,IR,IR,IR,IR,D,,,
Connor Shaw,ShawCo00,chi,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Josh Sitton,SittJo20,chi,,,Q,Q,Q,Q,D,,,Q,D,Q,,,,,Q,,,
Will Sutton,SuttWi00,chi,,,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,
Deonte Thompson,ThomDe04,chi,Q,,,,,,,,,,,,,,,,,,,
Danny Trevathan,TrevDa00,chi,,,O,D,Q,,,,,,,IR,IR,IR,IR,IR,,,,
Mitch Unrein,UnreMi00,chi,,,,,,,,,,D,Q,,,,,,,,,
Cornelius Washington,WashCo00,chi,Q,,,,,,,,,,,,,,Q,,,,,
Kevin White,WhitKe00,chi,Q,,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Marquess Wilson,WilsMa02,chi,IR,IR,IR,IR,IR,IR,IR,,IR,Q,,,Q,IR,IR,IR,IR,,,
Willie Young,YounWi99,chi,,,Q,Q,Q,Q,,,,Q,,Q,,,Q,Q,,,,
Mackensie Alexander,AlexMa01,min,,,,,,,,,,,,D,,,IR,IR,,,,
Joe Berger,BergJo20,min,,,,,,,,,,,,O,O,,,,,,,
Alex Boone,BoonAl21,min,,,,,,,,O,,,,,,,,D,,,,
Teddy Bridgewater,BridTe00,min,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Scott Crichton,CricSc00,min,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Stefon Diggs,DiggSt00,min,,,,,D,,,,,,Q,Q,,,Q,D,,,,
Nick Easton,EastNi00,min,O,,,,,,,,,,,,,,,,,,,
Rhett Ellison,ElliRh00,min,,,,,D,,,,,,,,,,,,,,,
Antone Exum,ExumAn00,min,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Sharrif Floyd,FloySh00,min,,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brandon Fusco,FuscBr00,min,,,,,,,,,,,,,,,O,,,,,
Michael Griffin,GrifMi99,min,IR,IR,IR,IR,IR,,IR,,,IR,IR,IR,,IR,,,IR,,,
Mike Harris,HarrMi01,min,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Taylor Heinicke,HeinTa00,min,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Charles Johnson,JohnCh08,min,Q,,,,,,,,,,,,,,,Q,,,,
Tom Johnson,JohnTo01,min,,,,,,,,Q,,,,,,,,IR,,,,
Matt Kalil,KaliMa00,min,,Q,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Eric Kendricks,KendEr00,min,,,,,,,,O,,Q,Q,,,,,,,,,
Zac Kerin,KeriZa00,min,,,,,,,,O,,,,,,,,,O,,,
Zach Line,LineZa01,min,,,,,,,,,,,,,,,O,,,,,
Jake Long,LongJa20,min,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,
Jerick McKinnon,McKiJe00,min,Q,,,,,,,Q,,,,,,,,,O,,,
David Morgan,MorgDa01,min,,,,Q,O,,,,,,,,,,,,,,,
Captain Munnerlyn,MunnCa99,min,,,,,,,,,,Q,Q,,,,,,,,,
Terence Newman,NewmTe20,min,,,,,,,,,,,D,Q,,,,,,,,
Cordarrelle Patterson,PattCo00,min,,,,,,,,,,,,,,,,,Q,,,
Adrian Peterson,PeteAd01,min,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,O,O,IR,,,
Jabari Price,PricJa00,min,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
MyCole Pruitt,PruiMy00,min,O,O,Q,,,,,,,,,,,,,,Q,,,
Xavier Rhodes,RhodXa00,min,,O,Q,,,,,,,,,,,,,,,,,
Edmond Robinson,RobiEd00,min,,,,,,,,,,,,,Q,,,,,,,
Andrew Sendejo,SendAn00,min,,,,,,,,Q,,,,,,,,O,O,,,
Marcus Sherels,SherMa20,min,,,,,,,,,,Q,O,O,Q,,,,Q,,,
Andre Smith,SmitAn23,min,,,,,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Harrison Smith,SmitHa00,min,,,,,,,,,,,Q,,O,,Q,,,,,
Laquon Treadwell,TreaLa00,min,,,,,,,,,,,,,,,O,D,,,,
Jarius Wright,WrigJa02,min,,,,,,,,,,,,,,,,,Q,,,
Ameer Abdullah,AbduAm00,det,,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Ezekiel Ansah,AnsaEz00,det,,Q,O,O,O,,,Q,,Q,Q,,Q,,,,,,,
Adairius Barnes,BarnAd01,det,,Q,Q,Q,,,,Q,,,,,,,,,,,,
Jonathan Bostic,BostJo00,det,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Armonty Bryant,BryaAr00,det,,,,,,,,,,,,,IR,IR,IR,IR,,IR,,
Josh Bynes,ByneJo00,det,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Don Carey,CareDo00,det,,,,,Q,,,,,,Q,,Q,,,,,,,
Stefan Charles,CharSt00,det,,,,,,,,,,,,,,,,IR,,IR,,
Taylor Decker,DeckTa00,det,,,,,,,,Q,,,,,,,,,,,,
Quandre Diggs,DiggQu00,det,,,,,,,,,,,,,IR,IR,IR,IR,,IR,,
Eric Ebron,EbroEr00,det,Q,,Q,Q,O,,,,,,,,Q,,,,Q,,,
Corey Fuller,FullCo00,det,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Wallace Gilberry,GilbWa00,det,,,Q,Q,IR,IR,IR,IR,,,IR,IR,IR,IR,IR,,IR,IR,,
Graham Glasgow,GlasGr00,det,Q,,,,,,,,,,Q,,,,,,,,,
Asa Jackson,JackAs00,det,,,,,,,,,,,,,,,,,,IR,,
Marvin Jones,JoneMa02,det,,,,Q,Q,,,,,,,,Q,,,,,,,
Jimmy Landes,LandJi00,det,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Nevin Lawson,LawsNe00,det,,,,,,,,,,,,,,,,,Q,,,
DeAndre Levy,LevyDe99,det,,D,D,O,O,,,O,,D,Q,,Q,,,Q,O,Q,,
Haloti Ngata,NgatHa20,det,,,,,,,,Q,,,,,,,,,Q,,,
Brandon Pettigrew,PettBr00,det,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Riley Reiff,ReifRi00,det,,,Q,Q,,,,Q,,,,,,,,,Q,Q,,
Theo Riddick,RiddTh00,det,,,,,,,,Q,,Q,Q,,IR,IR,IR,O,,IR,,
Andre Roberts,RobeAn00,det,,,,,,,,,,,,,,,,Q,,Q,,
Corey Robinson,RobiCo00,det,Q,,,,,,,,,,,,,,,,Q,IR,,
Darius Slay,SlayDa00,det,,,,,,,,Q,,,,,,,,Q,O,,,
Ryan Spadola,SpadRy00,det,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Travis Swanson,SwanTr00,det,,,,,,,,,,,,,O,,,D,,Q,,
Golden Tate,TateGo00,det,Q,,,,,,,,,,,,,,,,,,,
Devin Taylor,TaylDe00,det,,,Q,Q,,,,,,,,,,,,,,,,
Khyri Thornton,ThorKh00,det,,,,,,,,,,,Q,,,,,,,,,
Kyle Van Noy,VanNKy00,det,,,Q,,,,,,,,,,,,,,,,,
Tyrunn Walker,WalkTy00,det,,,Q,,,,,,,,,,,,,,,,,
Larry Warford,WarfLa00,det,,,Q,,,,,,,,,,,,,,,,,
Dwayne Washington,WashDw00,det,,,,,D,,,,,,,,Q,,,,,,,
Ian Wells,WellIa01,det,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Tahir Whitehead,WhitTa00,det,,,,,,,,,,,,,Q,,,,,,,
Cole Wick,WickCo00,det,,Q,,,,,,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Tavon Wilson,WilsTa00,det,,,,Q,Q,,,,,,,,,,,,,,,
Tim Wright,WrigTi01,det,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Jared Abbrederis,AbbrJa00,gnb,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Davante Adams,AdamDa01,gnb,,,,,,,Q,,,,,,,,,,,,,Q
Geronimo Allison,AlliGe01,gnb,,,,,,,,,,,,,,,,,,,,Q
Kennard Backman,BackKe00,gnb,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Banjo,BanjCh00,gnb,D,D,,,,IR,IR,IR,IR,IR,IR,,,,,,IR,IR,IR,IR
Bryan Bulaga,BulaBr20,gnb,,,,,,,,,,,,,,,,,,Q,,
Morgan Burnett,BurnMo99,gnb,,,Q,,,,,,,,,,,,,,,,,Q
Randall Cobb,CobbRa00,gnb,,,,,,,,,,,,,,,Q,Q,Q,Q,,
Jared Cook,CookJa02,gnb,,,,,O,,O,,,,,,,,,,O,,,
John Crockett,CrocJo00,gnb,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trevor Davis,DaviTr03,gnb,D,Q,,,,,,,,,,,,,,,,,,
Makinton Dorleant,DorlMa00,gnb,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,IR,IR
Jayrone Elliott,ElliJa02,gnb,D,D,,,,,,,,,,,,,O,Q,,Q,Q,
Kyler Fackrell,FackKy00,gnb,,,,,,,,,,,,O,O,,,,,,,
Jacob Flores,FlorJa00,gnb,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Demetri Goodson,GoodDe00,gnb,,,,,,,,,,,IR,O,IR,IR,IR,IR,,IR,IR,IR
Letroy Guion,GuioLe99,gnb,,,Q,,,,,,,,,,,,,,,,,
Ladarius Gunter,GuntLa00,gnb,,,,,,,,,,,,,Q,,,,,,,
Josh Hawkins,HawkJo00,gnb,O,O,,,,,,,,,,,,,,,,,,
Don Jackson,JackDo01,gnb,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Jeff Janis,JaniJe00,gnb,Q,,,,,,,,,,,,,,,,,,Q,
Datone Jones,JoneDa03,gnb,,,Q,,,,,,,,,,,,,,,,,
Tyler Kuder,KudeTy00,gnb,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eddie Lacy,LacyEd00,gnb,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
T.J. Lang,LangT.20,gnb,,,Q,,,,,,,,,D,Q,,,,Q,,,
Corey Linsley,LinsCo00,gnb,IR,IR,IR,,IR,IR,IR,,,,,,,,,,IR,,,
Blake Martinez,MartBl01,gnb,,,,,,,,,,,,Q,Q,,,,,,,
Clay Matthews,MattCl99,gnb,,,Q,,,,,,,,,Q,Q,,,,Q,,,
Ty Montgomery,MontTy01,gnb,,,,,,,,,,,,,,,,,Q,,,
Jordy Nelson,NelsJo00,gnb,,,,,,,,,,,,,,,,,,,O,Q
Justin Perillo,PeriJu00,gnb,Q,,,,,,,,,,,,,,,,,,,
Nick Perry,PerrNi00,gnb,,,,,,,,,,,,,O,,Q,,,Q,,
Damarious Randall,RandDa00,gnb,,,,,Q,,O,,,,,,Q,,Q,Q,O,Q,,
Aaron Rodgers,RodgAa00,gnb,,,,,,,,,,,,Q,,,,,,,,
Quinten Rollins,RollQu00,gnb,,,,,,,O,,,,,,,,,,O,O,Q,Q
Jake Ryan,RyanJa00,gnb,,,,,,,,,,,,Q,,,,,,,,
Sam Shields,ShieSa00,gnb,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Starks,StarJa00,gnb,,,,,,,O,,,,,,,,O,O,O,O,O,O
Kyle Steuck,SteuKy00,gnb,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joe Thomas,ThomJo04,gnb,,,,,,,,,,,,,,,,Q,,Q,,
J.C. Tretter,TretJC00,gnb,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,O
Allen Barbre,BarbAl20,phi,,,,,,,,O,,,,,,,Q,D,,,,
Kenjon Barner,BarnKe00,phi,,,,,,,,,,,,,,,IR,IR,,,,
Ron Brooks,BrooRo01,phi,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Trey Burton,BurtTr01,phi,Q,,,,,,,,,,,,,,,,,,,
Vinny Curry,CurrVi00,phi,Q,,,,,,,,,,,,,,,,,,,
Jon Dorenbos,DoreJo20,phi,,,,,,,,,,,,,,IR,IR,IR,,,,
Zach Ertz,ErtzZa00,phi,,O,O,,,,,,,,,,,,,,,,,
Dorial Green-Beckham,GreeDo00,phi,,,,,,,,,,,,,Q,,,,,,,
Taylor Hart,HartTa00,phi,,,,,,,,Q,,,,,,,,,Q,,,
Jordan Hicks,HickJo00,phi,,,,,,,,,,,,,,,,Q,,,,
Mychal Kendricks,KendMy00,phi,,,Q,,,,,,,,,,,,,Q,,,,
Bennie Logan,LogaBe00,phi,,,,,Q,,,Q,,,,,,,,,O,,,
Ryan Mathews,MathRy00,phi,,,,,,,,,,,,O,Q,,,IR,,,,
Jordan Matthews,MattJo00,phi,,,,,,,,,,,,Q,Q,,Q,Q,,,,
Alex McCalister,McCaAl00,phi,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Leodis McKelvin,McKeLe99,phi,,O,O,,,,,,,,,,,,,,,,,
Isaac Seumalo,SeumIs00,phi,,,O,,,,,,,,,,,,Q,Q,,,,
Wendell Smallwood,SmalWe00,phi,,,,,,,,,,,,,,IR,IR,IR,,,,
Matt Tobin,TobiMa00,phi,,,,,,,,,,,,,,IR,IR,IR,,,,
Bryce Treggs,TregBr00,phi,O,,,,,,,,,,,,,,,,,,,
Halapoulivaati Vaitai,VaitHa00,phi,,,,,,,,,,,,O,O,,Q,,,,,
Joe Walker,WalkJo01,phi,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Chris Baker,BakeCh99,was,,Q,Q,,,,,,,,Q,,Q,,Q,Q,,,,
Houston Bates,BateHo00,was,,,,,,,,,,,,,,,IR,IR,,,,
Will Blackmon,BlacWi20,was,,,,,,,,,,,,,O,,,,,,,
Kevin Bowen,BoweKe00,was,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Bashaud Breeland,BreeBa00,was,,,,O,O,,,,,,,,,,,,Q,,,
David Bruton,BrutDa99,was,,,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Derek Carrier,CarrDe00,was,IR,IR,IR,IR,IR,IR,IR,,,,,,Q,,,,IR,,,
William Compton,CompWi00,was,,,,,,,,,,,,,Q,,Q,Q,,,,
Su'a Cravens,CravSu00,was,,Q,Q,,O,,,,,,,,,,O,O,,,,
Jamison Crowder,CrowJa00,was,,,,,,,,,,,,,,,,,Q,,,
Steven Daniels,DaniSt00,was,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Vernon Davis,DaviVe00,was,,,,,,,,,,,,,,,,,Q,,,
Reggie Diggs,DiggRe00,was,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Josh Doctson,DoctJo00,was,Q,Q,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Quinton Dunbar,DunbQu00,was,,,,,,,,,,,,,,,O,O,,,,
Terence Garvin,GarvTe00,was,,,,,,,,,,,,,,,Q,,Q,,,
Kedric Golston,GolsKe20,was,Q,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
DeAngelo Hall,HallDe99,was,,,,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
DeSean Jackson,JackDe00,was,,,,,,,,,,,Q,,,,,,Q,,,
Matt Jones,JoneMa04,was,Q,,,,,,,,,,,,,,,,O,,,
Robert Kelley,KellRo00,was,,,,,,,,,,,,,,,,Q,,,,
Ryan Kerrigan,KerrRy00,was,,,,,Q,,,,,,,,,,Q,Q,,,,
Anthony Lanier,LaniAn00,was,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,
Shawn Lauvao,LauvSh20,was,,,,O,Q,,,,,,,,Q,,,,,,,
Kory Lichtensteiger,LichKo20,was,,,Q,IR,IR,IR,IR,,IR,IR,IR,IR,,IR,IR,IR,IR,,,
Spencer Long,LongSp00,was,Q,,,,,,,,,,,,O,,,Q,Q,,,
Keith Marshall,MarsKe00,was,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Colt McCoy,McCoCo00,was,,,,,,,,,,,,,,,Q,,,,,
Trent Murphy,MurpTr00,was,,,,Q,,,,,,,,,,,,Q,,,,
Josh Norman,NormJo01,was,,,,,,,,,,,,,,,,,Q,,,
Vinston Painter,PainVi00,was,,,,,,,,,,,,,,,,O,,,,
Niles Paul,PaulNi00,was,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Dashaun Phillips,PhilDa00,was,,,,O,O,,,,,,,,,,,,,,,
Jordan Reed,ReedJo02,was,,,,,,,,,,,,,Q,,Q,Q,Q,,,
Kendall Reyes,ReyeKe00,was,Q,O,O,Q,,,,,,,,,,,,,,,,
Brandon Scherff,ScheBr00,was,,,,,,,,,,,,,Q,,,,Q,,,
Preston Smith,SmitPr00,was,,,,,,,,,,,,,Q,,,,,,,
Martrell Spaight,SpaiMa00,was,,O,Q,,,,,,,,,,,,Q,Q,,,,
Nick Sundberg,SundNi00,was,,,,,,,,,,,O,,,,,,,,,
Donte Whitner,WhitDo20,was,,,,,,,,,,,,,,,,IR,,,,
Trent Williams,WillTr21,was,,Q,,,,,,,,,,,,,,,Q,,,
Jerell Adams,AdamJe01,nyg,,,,,,,,,,,,,,,,Q,,,,
Eli Apple,ApplEl00,nyg,,,,D,Q,,,,,,,,,,,,,,,
Nat Berhe,BerhNa00,nyg,,,,O,O,,,Q,,,,,,,O,O,,,,
Jonathan Casillas,CasiJo99,nyg,,,,,,,,,,,,,,,Q,,,,,
Orleans Darkwa,DarkOr00,nyg,,,,,,,,,,Q,Q,IR,IR,IR,IR,IR,,IR,,
Larry Donnell,DonnLa00,nyg,,,,,O,,,,,,,,,,,,,,,
Adam Gettis,GettAd00,nyg,,,,,,,,,,Q,Q,,,,,,,,,
B.J. Goodson,GoodB.00,nyg,,,,,,,,,,,,,,,,Q,,,,
Janoris Jenkins,JenkJa03,nyg,,,,,,,,,,,,,,,Q,Q,,,,
Rashad Jennings,JennRa00,nyg,,,Q,Q,Q,,,,,,,,,,,,,,,
Will Johnson,JohnWi00,nyg,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Brett Jones,JoneBr04,nyg,,,,,,,,,,O,O,,,,,,,,,
Matt LaCosse,LaCoMa00,nyg,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Roger Lewis,LewiRo03,nyg,,,,,,,,,,,Q,,,,,,,,,
Ryan Nassib,NassRy00,nyg,,,,,,,,Q,,,,,,,IR,IR,,IR,,
Marshall Newhouse,NewhMa20,nyg,,,O,O,O,,,Q,,,O,,,,,,,,,
Owamagbe Odighizuwa,OdigOw00,nyg,,,,,,,,,,,,,,,,,,D,,
Jason Pierre-Paul,PierJa99,nyg,,Q,,,,,,,,,Q,,,,O,O,,Q,,
Justin Pugh,PughJu00,nyg,,,,,,,,,,O,O,,,,,,,,,
Bobby Rainey,RainBo00,nyg,,,,,,,,Q,,,,,,,,,,,,
Jake Rodgers,RodgJa03,nyg,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Dominique Rodgers-Cromartie,RodgDo99,nyg,,,,Q,Q,,,,,,,,,,,,,,,
Coty Sensabaugh,SensCo00,nyg,,,,,,,,,,,,,,,,Q,,,,
Byron Stingily,StinBy00,nyg,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
J.T. Thomas,ThomJ.02,nyg,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Robert Thomas,ThomRo04,nyg,O,O,O,O,,,,,,,,,,,,,,,,
Darian Thompson,ThomDa05,nyg,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Mykkele Thompson,ThomMy00,nyg,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Shane Vereen,VereSh00,nyg,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,,IR,,
Nikita Whitlock,WhitNi01,nyg,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Kerry Wynn,WynnKe00,nyg,,,,,,,,O,,,,,,,,,,,,
Dan Bailey,BailDa00,dal,,,,,Q,,,,,,,,,,,,,,,
Anthony Brown,BrowAn02,dal,,,,,,,,,,,,,,,,Q,,,,
Dez Bryant,BryaDe01,dal,,,,Q,Q,,,Q,,Q,Q,,,,,,Q,,,
Barry Church,ChurBa99,dal,,,,,,,,O,,O,O,Q,,,,,,,,
Morris Claiborne,ClaiMo00,dal,,,,,,,,O,,O,O,O,,,,O,Q,Q,,
La'el Collins,CollLa01,dal,,,,O,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Maliek Collins,CollMa00,dal,,,,,,,,Q,,,,,,,,,,,,
Jack Crawford,CrawJa00,dal,,Q,Q,Q,Q,,,,,,,Q,,,,Q,,,,
Tyrone Crawford,CrawTy00,dal,,,,,,,,,,,,,,,,O,,Q,,
Ryan Davis,DaviRy00,dal,,,,,,,,O,,,,,,,,IR,O,IR,,
Lance Dunbar,DunbLa00,dal,,,,,Q,,,Q,,,,,,,,,Q,,,
Justin Durant,DuraJu99,dal,,,,,,,,,,,,O,,,,O,,Q,,
Doug Free,FreeDo20,dal,,,Q,Q,,,,,,,,,,,,,,,,
Andrew Gachkar,GachAn00,dal,,,,Q,Q,,,,,,,,,,,,,,,
Chaz Green,GreeCh02,dal,,,,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Randy Gregory,GregRa00,dal,,,,,,,,,,,,,,,,Q,,,,
James Hanna,HannJa00,dal,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Jeff Heath,HeatJe00,dal,,,,Q,,,,,,,,,,,,,,,,
Anthony Hitchens,HitcAn00,dal,,,,,,,,Q,,,,,,,,,,,,
David Irving,IrviDa00,dal,,,,,O,,,,,,,Q,,,,,Q,,,
Demarcus Lawrence,LawrDe00,dal,,,,,,,,Q,,Q,Q,Q,,,,O,Q,Q,,
Ronald Leary,LearRo00,dal,Q,Q,,,,,,,,,,,,,,Q,,,,
Sean Lee,LeexSe99,dal,,,,,,,,,,,,Q,,,,Q,,,,
Rolando McClain,McClRo00,dal,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Terrell McClain,McClTe00,dal,,,,,,,,,,,Q,Q,,,,O,,Q,,
