Player,Url,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 8,Week 18,Week 19,Week 20
Lamar Louis,LouiLa00,crd,Q,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Gabe Martin,MartGa00,crd,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,
Kareem Martin,MartKa00,crd,O,O,D,,,,,,,,,,,,,,,,,
Tyrann Mathieu,MathTy00,crd,,,,,,,,,,Q,Q,,O,,IR,IR,,,,
Evan Mathis,MathEv20,crd,,Q,O,,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Josh Mauro,MaurJo00,crd,,,,,Q,,,,,,,,,,,,,,,
Ifeanyi Momah,MomaIf00,crd,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,
JJ Nelson,NelsJJ00,crd,,Q,,,,,,,,,,,,,,,,,,
Troy Niklas,NiklTr00,crd,,,,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Robert Nkemdiche,NkemRo00,crd,,Q,Q,,,,,,,,,,Q,,,,,,,
Alex Okafor,OkafAl00,crd,,,,,,,,,,,,,,,,,O,,,
Tristan Okpalaugo,OkpaTr01,crd,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Carson Palmer,PalmCa00,crd,,,,,O,,,,,,,,,,,,,,,
Corey Peters,PeteCo00,crd,,,,,,,,,,D,Q,,,,,,,,,
Frostee Rucker,RuckFr99,crd,,O,D,,Q,,,,,,,,,,,,,,,
Tharold Simon,SimoTh00,crd,,,,,,,,,,Q,,,Q,,,,,,,
Ed Stinson,StinEd00,crd,,,,,O,,,,,,Q,,,,,,O,,,
Stepfan Taylor,TaylSt00,crd,Q,Q,,,,,,,,,,,,,,,,,,
Jared Veldheer,VeldJa20,crd,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,
Earl Watford,WatfEa00,crd,,,,,,,,,,,Q,,,,,,,,,
Tavaris Barnes,BarnTa00,sea,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Michael Bennett,BennMi99,sea,,,,,,,,,,,,,,,,,O,,,
Kam Chancellor,ChanKa99,sea,,,,,,,,,,,,,,,,,O,,,
Brock Coyle,CoylBr00,sea,,,,,,,,,,,,,O,,,,,,,
DeAndre Elliott,ElliDe01,sea,,,,,,,,,,,,,,,,,O,,,
Nolan Frese,FresNo00,sea,,,,,,,,,,,,,,,,,,IR,IR,
Jimmy Graham,GrahJi00,sea,Q,,,Q,,,,,,,,,,,,,,,,
Jordan Hill,HillJo01,sea,,,IR,IR,,IR,IR,IR,IR,IR,,,,IR,IR,IR,IR,IR,IR,
Germain Ifedi,IfedGe00,sea,Q,,D,,,,,,,,,,,,,,,,,
Stanley Jean-Baptiste,JeanSt00,sea,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Quinton Jefferson,JeffQu00,sea,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Tyler Lockett,LockTy00,sea,,,Q,,,,,,,,,,,,,IR,Q,IR,IR,
Tony McDaniel,McDaTo20,sea,,,,,,,,,,,,,,,,,,O,,
Damontre Moore,MoorDa01,sea,,,,,,,,,,,,,IR,IR,IR,IR,,IR,IR,
Mike Morgan,MorgMi00,sea,,,,Q,,IR,IR,IR,IR,IR,IR,,Q,,,,IR,,,
Kevin Pierre-Louis,PierKe00,sea,,,,,,,,,,,,,,,,,O,,,
Terry Poole,PoolTe00,sea,,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Troymaine Pope,PopeTr00,sea,,,,,,,,,,,,,,IR,IR,IR,,IR,IR,
C.J. Prosise,ProsC.00,sea,,,Q,Q,,,,,,,,,O,,,,,O,Q,
Thomas Rawls,RawlTh00,sea,,,D,O,,,,,,,,,,,,,O,,,
Jarran Reed,ReedJa02,sea,,,,Q,,,,,,,,,,,,,,,,
Tyler Slavin,SlavTy00,sea,,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Garrison Smith,SmitGa01,sea,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Joe Sommers,SommJo00,sea,,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Bradley Sowell,SoweBr00,sea,,,,,,,,,,,,,,,,,Q,,,
Earl Thomas,ThomEa99,sea,,,,,,,,,,,IR,,IR,IR,IR,IR,,IR,IR,
Jordan Tripp,TripJo00,sea,,,,,,,,,,,,IR,IR,IR,,,,IR,IR,
Will Tukuafu,TukuWi00,sea,,,,,,,,,,,,,IR,IR,IR,IR,,IR,IR,
Nick Vannett,VannNi00,sea,O,,D,Q,,,,,,,,,,,,,,,,
Luke Willson,WillLu00,sea,,,,,,,,,,,,,,,,,O,,,
Mario Addison,AddiMa00,car,,,,,,,,,,,,,Q,,,,,,,
Derek Anderson,AndeDe00,car,,,,,,,,,,,,,,,,O,,,,
Tre Boston,BostTr00,car,,,,,,,,,,,,,,,,IR,,,,
James Bradberry,BradJa00,car,,,,,O,,,,,,,,,,,,Q,,,
Vernon Butler,ButlVe00,car,Q,,,O,O,,,,Q,,,,,,,,O,,,
LaRon Byrd,ByrdLa00,car,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jeremy Cash,CashJe01,car,,,D,,,,,,,,,,,,,,,,,
Kurt Coleman,ColeKu99,car,,,,,,,,,,,,,Q,,,,,,,
Rakim Cox,CoxxRa00,car,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Thomas Davis,DaviTh20,car,,,,,Q,,,,,,,,,,,,,,,
Ryan Delaire,DelaRy00,car,,,,IR,IR,IR,,IR,IR,IR,,,,,O,IR,IR,,,
Kony Ealy,EalyKo00,car,,,,,,,,,,,,,,,,,Q,,,
Devin Funchess,FuncDe00,car,,,,,Q,,,,,,,,,,,IR,,,,
Ted Ginn,GinnTe00,car,,,,,Q,,,,,,,,,,,,,,,
Gino Gradkowski,GradGi00,car,,,,,,,,,Q,Q,,IR,IR,IR,IR,IR,,,,
Charles Johnson,JohnCh98,car,,,,Q,Q,,,,,,,,O,,,O,,,,
Devon Johnson,JohnDe05,car,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Leonard Johnson,JohnLe03,car,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Colin Jones,JoneCo01,car,,,,,,,,,O,O,,,,,,,,,,
Ryan Kalil,KaliRy20,car,,,,,,,,IR,IR,Q,IR,IR,IR,IR,IR,IR,,,,
A.J. Klein,KleiAJ00,car,Q,,,,,,,,,O,,,,,,,,,,
Luke Kuechly,KuecLu00,car,,,,,,,,,,,,,Q,,,,,,,
Andy Lee,LeexAn20,car,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,
Kyle Love,LoveKy00,car,,,,,,,,,Q,,,,,,,,,,,
Dean Marlowe,MarlDe00,car,D,Q,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
David Mayo,MayoDa00,car,,,,,,,,,,,,,O,,,,,,,
Robert McClain,McClRo98,car,,,,,,,,,,,,,,,,,Q,,,
Cam Newton,NewtCa00,car,,,,,O,,,,,,,,,,,Q,,,,
Kevin Norwood,NorwKe00,car,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Michael Oher,OherMi20,car,,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Greg Olsen,OlseGr00,car,,,,,,,,,,,,,,,,Q,,,,
Jordan Rigsbee,RigsJo00,car,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Zack Sanchez,SancZa00,car,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,
Kawann Short,ShorKa00,car,,,Q,,,,,,,,,,,,,,,,,
Paul Soliai,SoliPa99,car,,,,,,,,,,,,,,,,,Q,,,
Jonathan Stewart,StewJo00,car,,Q,O,O,O,,,,,,,,,,,Q,,,,
Shaq Thompson,ThomSh01,car,,,,,,,,,Q,,,,,,,,,,,
Mike Tolbert,TolbMi00,car,,,,,Q,,,,,,,,,,,,,,,
Trai Turner,TurnTr01,car,,,Q,,,,,,,,,,,,,,,,,
Daryl Williams,WillDa06,car,,,,,,,,,,,,,O,,,,,,,
Teddy Williams,WillTe00,car,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Daryl Worley,WorlDa00,car,,,,,,,,,,,,,Q,,,,Q,,,
Stephone Anthony,AnthSt00,nor,,,,,,,,,O,,,,,IR,IR,IR,O,,,
Terron Armstead,ArmsTe00,nor,Q,Q,O,O,,,,,Q,O,,,Q,IR,IR,IR,Q,,,
Delvin Breaux,BreaDe00,nor,,O,O,O,,,,,,Q,,,,IR,O,IR,O,,,
